Rweek,Date,Adult pos,Adult tot,Adult neg,Juv pos,Juv tot,Juv neg,N,Njuv,Nadult,Fjuv
5,2/3/2006,13,65,52,3,15,12,,,,0.1875
82,7/25/2007,43,57,14,18,44,26,,,,0.435643564
102,12/11/2007,48,79,31,5,21,16,,,,0.21
119,4/8/2008,40,77,37,2,3,1,,,,0.0375
133,7/19/2008,49,66,17,14,34,20,300,102,198,0.34
147,10/20/2008,47,57,10,13,43,30,288,123.84,164.16,0.43
163,2/14/2009,45,66,21,8,34,26,250,85,165,0.34
176,5/12/2009,39,81,42,7,19,12,233,44.27,188.73,0.19
192,9/1/2009,54,72,18,11,28,17,314,87.92,226.08,0.28
203,11/15/2009,38,50,12,22,50,28,243,121.5,121.5,0.5
215,2/13/2010,36,63,27,3,37,34,325,120.25,204.75,0.37
233,6/17/2010,34,72,38,8,28,20,325,91,234,0.28
247,9/19/2010,17,54,37,10,46,36,233,107.18,125.82,0.46
264,1/20/2011,30,70,40,0,29,29,267,78.21212121,188.7878788,0.292929293
279,5/6/2011,36,64,28,1,13,12,250,42.20779221,207.7922078,0.168831169
294,8/17/2011,34,51,17,20,48,28,200,96.96969697,103.030303,0.484848485
312,12/18/2011,24,58,34,6,42,36,217,91.14,125.86,0.42
330,4/28/2012,38,72,34,4,17,13,183,34.95505618,148.0449438,0.191011236
341,7/11/2012,19,37,18,16,63,47,167,105.21,61.79,0.63
359,11/15/2012,27,77,50,1,23,22,166.6666667,38.33333334,128.3333334,0.23
