antibody,id,unique_id,location,latitude,longitude,date,species,sex,pregnant,lactating,has_pup,age_class,weight_g,forearm_mm,head_mm,body_mm,body_condition,microchip_id,mother,pup,notes,sheet_name,collection_date,imputed,cohort,luminex,classification,class_uncertainty,seropos
Nipah,1,faridpur_jul_2007_1,Dumra Khandie,23.57759,89.8021,2007-07-20T00:00:00Z,Pteropus giganteus,female,FALSE,FALSE,FALSE,juvenile,316,145,70,175,good,080_843_971,NA,NA,NA,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,2007,96,1,0.007394464,FALSE
Nipah,2,faridpur_jul_2007_2,Dumra Khandie,23.57759,89.8021,2007-07-20T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,juvenile,312,155,65,162,good,081_893_624,NA,NA,NA,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,2007,464,2,0.3522244347056612,TRUE
Nipah,3,faridpur_jul_2007_3,Dumra Khandie,23.57759,89.8021,2007-07-20T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,812,183,82,220,good,081_029_784,NA,NA,centrifuged,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,13035,2,2.2870594307278225e-14,TRUE
Nipah,4,faridpur_jul_2007_4,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,female,FALSE,TRUE,FALSE,adult,600,170,62,210,good,081_085_565,NA,NA,"beging D.K. location, batfly",faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,22602,2,0,TRUE
Nipah,5,faridpur_jul_2007_5,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,824,180,77,230,good,081_089_068,NA,NA,NA,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,1948,2,2.3180894039520616e-5,TRUE
Nipah,6,faridpur_jul_2007_6,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,706,175,72,210,good,081_036_580,NA,NA,recaptured later; batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,117,1,0.010703922468850657,FALSE
Nipah,7,faridpur_jul_2007_7,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,728,170,72,220,fair,081_074_282,NA,NA,hemolyzed; free catch urine;swab from fur and floor+AD41,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,2167,2,9.062864672726434e-6,TRUE
Nipah,8,faridpur_jul_2007_8,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,764,164,70,200,good,081_056_786,NA,NA,batfly; urine swab from wing,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,2187,2,8.347480830006582e-6,TRUE
Nipah,9,faridpur_jul_2007_9,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,juvenile,208,135,45,150,good,080_894_890,NA,NA,batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,2007,162,1,0.023811984,FALSE
Nipah,10,faridpur_jul_2007_10,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,808,178,70,220,good,080_885_347,NA,NA,batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,28709,2,0,TRUE
Nipah,11,faridpur_jul_2007_11,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,812,170,60,210,good,081_085_025,NA,NA,floor urine; batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,28671,2,0,TRUE
Nipah,12,faridpur_jul_2007_12,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,juvenile,322,145,61,170,good,081_072_364,NA,NA,batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,2007,91,1,0.006794626,FALSE
Nipah,13,faridpur_jul_2007_13,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,792,165,62,210,good,081_091_564,NA,NA,batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,10610,2,3.235189893757706e-13,TRUE
Nipah,14,faridpur_jul_2007_14,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,904,181,70,225,good,081_061_605,NA,NA,batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,15996,2,1.5543122344752192e-15,TRUE
Nipah,15,faridpur_jul_2007_15,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,712,170,70,195,good,080_877_873,NA,NA,batfly,faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,27772,2,0,TRUE
Nipah,16,faridpur_jul_2007_16,Dumra Khandie,23.57759,89.8021,2007-07-22T00:00:00Z,Pteropus giganteus,male,FALSE,FALSE,FALSE,adult,910,173,65,220,good,080_889_891,NA,NA,"urine porphyrine stained; missing R 4,5 metatars. Batfly",faridpur_jul_2007,2007-07-25T00:00:00Z,FALSE,NA,19808.5,2,0,TRUE
